Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Gabon,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.925205852,8.564987223,7.578481552,6.392639389,4.755648789,3.67256452,2.798534005,2.231092249
Gambia,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,253.1567032,240.8078398,210.7898774,181.2400599,134.4876976,97.35391524,67.22668164,49.46496398
Georgia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.72144907,54.03030129,54.10519369,55.04779053,61.19328551,77.3548924,73.8284505,68.87268293
Germany,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544235,233.3400203,229.8236025,227.7286525,228.3631473,222.254507,217.8203683,219.2425472
Ghana,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406237,134.9096393,121.0354081,107.2166912,82.44352773,64.75825986,49.7425765,37.15165197
Gibraltar,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,5451.5,5420,5210.333333,4623.5,4552.833333,4789,4447.5
Greece,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.67998333,79.64415486,81.87469505,83.59559815,83.62837336,78.05329949,70.51403894,64.73879082
Greenland,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0.026068217,0.025865086,0.025804608,0.026015126,0.025938028,0.025667956,0.023132046,0.02097516
Grenada,125438,123663,118980,114039,107432,99047,94838,98794,344,364.6453488,359.4854651,345.872093,331.5087209,312.3023256,287.9273256,275.6918605,287.1918605
Guadeloupe,395752,395642,399089,403072,424067,391951,334234,318310,1628,243.0909091,243.0233415,245.1406634,247.5872236,260.4834152,240.7561425,205.3034398,195.522113
Guam,171774,169231,167978,164905,160188,138263,110286,88300,549,312.8852459,308.2531876,305.9708561,300.3734062,291.7814208,251.845173,200.8852459,160.8378871
Guatemala,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,163.8724573,159.4533699,146.9487919,133.5591382,107.7785084,83.43156793,64.17330493,50.08043053
Guernsey,63301,62794,61629,60782,59114,57727,52860,52656,78,811.5512821,805.0512821,790.1153846,779.2564103,757.8717949,740.0897436,677.6923077,675.0769231
Guinea,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.37155338,53.71070582,47.28764282,41.77521079,33.90982156,25.84488137,20.22561489,17.17410527
Guinea-Bissau,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,58.28556401,55.80146713,49.52024913,43.3832526,34.07194464,26.94950865,23.01624913,16.37821453
Guyana,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.762058715,3.708450986,3.512278515,3.479255148,3.530978885,3.475459252,3.619945201,3.28075676
Haiti,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,417.4773333,407.4522883,380.6759279,354.6983784,301.2693694,249.5614775,203.4838198,168.6779099
Honduras,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,92.7431284,89.97762508,82.62369769,75.12474665,59.1750969,44.92082993,33.58452157,24.73734132
Hong Kong,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.39221,6794.346014,6702.751812,6460.541667,6097.09692,5288.563406,4509.550725,3582.492754
Hungary,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,107.1430967,104.8133143,105.8202477,107.3528938,109.6664983,111.5361934,115.004934,110.8845294
Iceland,372899,366669,331060,318333,281462,255019,228263,204468,103000,3.620378641,3.559893204,3.214174757,3.09061165,2.732640777,2.475912621,2.216145631,1.985126214
India,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,431.0674911,424.7449125,402.3818375,377.3626334,322.3132066,264.7690755,211.9572042,169.5775024
Indonesia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,144.6528527,142.7398902,136.0370614,128.1214663,112.3994043,95.64362016,77.80085468,60.50103409
Iran,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,53.72578487,52.96108349,49.62449285,45.73115135,39.76737158,33.85135193,23.37142389,17.26112808
Iraq,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,101.5158481,97.09179429,86.14270722,71.32936893,56.1896025,40.28678103,31.14953105,22.38413523
Ireland,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,71.47992828,70.38434392,66.39477466,64.38582386,53.63297426,49.5976264,48.26017105,41.80321034
Isle of Man,84519,84046,83593,83828,75562,68865,64022,55298,572,147.7604895,146.9335664,146.1416084,146.5524476,132.1013986,120.3933566,111.9265734,96.67482517
Israel,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,435.1617236,421.6412614,385.545402,352.8379875,294.5092922,231.25922,180.2892634,139.9762638
Italy,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,195.919087,197.4559263,199.8861935,198.5240728,189.0461047,188.3497524,186.9324674,176.9587305
Ivory Coast,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,87.32952928,83.14687266,73.1765846,65.4960166,52.09797713,36.93614461,25.75119936,16.98516109
Jamaica,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,257.2447457,256.613229,254.248476,248.7395141,237.6676372,217.635338,194.2995178,169.1466655
Japan,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,327.9752653,331.3967163,336.7050327,338.9660281,335.5220835,327.2730955,311.2327574,278.9321806
Jersey,110778,108319,100561,96151,86192,82874,75124,68347,116,954.9827586,933.7844828,866.9051724,828.887931,743.0344828,714.4310345,647.6206897,589.1982759
Jordan,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,126.3220993,122.3245618,106.2685635,77.58118242,56.59347228,38.95801527,24.81367106,17.43159992
Kazakhstan,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7.118792616,6.965115417,6.545527909,6.102182465,5.591490697,6.189791552,5.201185365,4.501194539
